date,logit_dem,two_party_vote,midterm,dem_pres
11/1/1846,,,TRUE,TRUE
11/1/1848,,,FALSE,TRUE
11/1/1850,,,TRUE,FALSE
11/1/1852,,,FALSE,FALSE
11/1/1854,,,TRUE,TRUE
11/1/1856,,,FALSE,TRUE
11/1/1858,,,TRUE,TRUE
11/1/1860,,,FALSE,TRUE
11/1/1862,,,TRUE,TRUE
11/1/1864,,,FALSE,TRUE
11/1/1866,,,TRUE,FALSE
11/1/1868,,,FALSE,FALSE
11/1/1870,,,TRUE,FALSE
11/1/1872,,,FALSE,FALSE
11/1/1874,,,TRUE,FALSE
11/1/1876,,,FALSE,FALSE
11/1/1878,,,TRUE,FALSE
11/1/1880,,,FALSE,FALSE
11/1/1882,,,TRUE,FALSE
11/1/1884,,,FALSE,FALSE
11/1/1886,,,TRUE,TRUE
11/1/1888,,,FALSE,TRUE
11/1/1890,,,TRUE,FALSE
11/1/1892,,,FALSE,FALSE
11/1/1894,,,TRUE,TRUE
11/1/1896,,,FALSE,TRUE
11/1/1898,,,TRUE,FALSE
11/1/1900,,,FALSE,FALSE
11/1/1902,,,TRUE,FALSE
11/1/1904,,,FALSE,FALSE
11/1/1906,,,TRUE,FALSE
11/1/1908,,,FALSE,FALSE
11/1/1910,,,TRUE,FALSE
11/1/1912,,,FALSE,FALSE
11/1/1910,,,TRUE,TRUE
11/1/1912,,,FALSE,TRUE
11/1/1914,,,TRUE,TRUE
11/1/1916,,,FALSE,TRUE
11/1/1918,,,TRUE,TRUE
11/1/1920,,,FALSE,TRUE
11/1/1922,,,TRUE,FALSE
11/1/1924,,,FALSE,FALSE
11/1/1926,,,TRUE,FALSE
11/1/1928,,,FALSE,FALSE
11/1/1930,,,TRUE,FALSE
11/1/1932,,,FALSE,FALSE
11/1/1934,,,TRUE,TRUE
11/1/1936,,,FALSE,TRUE
11/1/1938,,,TRUE,TRUE
11/1/1940,,,FALSE,TRUE
11/1/1942,,,TRUE,TRUE
11/1/1944,,,FALSE,TRUE
11/1/1946,-0.22899547,0.443,TRUE,TRUE
11/1/1948,0.064021859,0.516,FALSE,TRUE
11/1/1950,-0.044007101,0.489,TRUE,TRUE
11/1/1952,-0.032002731,0.492,FALSE,TRUE
11/1/1954,0.084049444,0.521,TRUE,FALSE
11/1/1956,0.02800183,0.507,FALSE,FALSE
11/1/1958,0.220893832,0.555,TRUE,FALSE
11/1/1960,0.176456437,0.544,FALSE,FALSE
11/1/1962,0.084049444,0.521,TRUE,TRUE
11/1/1964,0.277772344,0.569,FALSE,TRUE
11/1/1966,0.020000667,0.505,TRUE,TRUE
11/1/1968,0,0.5,FALSE,TRUE
11/1/1970,0.120144312,0.53,TRUE,FALSE
11/1/1972,0.068026221,0.517,FALSE,FALSE
11/1/1974,0.285932291,0.571,TRUE,FALSE
11/1/1976,0.24928294,0.562,FALSE,FALSE
11/1/1978,0.136210205,0.534,TRUE,TRUE
11/1/1980,0.016000341,0.504,FALSE,TRUE
11/1/1982,0.208754814,0.552,TRUE,FALSE
11/1/1984,0.084049444,0.521,FALSE,FALSE
11/1/1986,0.180488376,0.545,TRUE,FALSE
11/1/1988,0.132192166,0.533,FALSE,FALSE
11/1/1990,0.116130338,0.529,TRUE,FALSE
11/1/1992,0.032002731,0.508,FALSE,FALSE
11/1/1994,-0.184521778,0.454,TRUE,TRUE
11/1/1996,-0.06001801,0.485,FALSE,TRUE
11/1/1998,-0.116130338,0.471,TRUE,TRUE
11/1/2000,-0.120144312,0.47,FALSE,TRUE
11/1/2002,-0.200670695,0.45,TRUE,FALSE
11/1/2004,-0.136210205,0.466,FALSE,FALSE
11/1/2006,0.080042708,0.52,TRUE,FALSE
11/1/2008,0.116130338,0.529,FALSE,FALSE
11/1/2010,-0.208754814,0.448,TRUE,TRUE
11/1/2012,-0.068026221,0.483,FALSE,TRUE
11/1/2014,-0.180488376,0.455,TRUE,TRUE
11/1/2016,-0.10810516,0.473,FALSE,TRUE
11/1/2018,0.132192166,0.533,TRUE,FALSE
